,for_gb,total_commits
0,2016 09,17
1,2016 10,43
2,2016 11,76
3,2016 12,100
4,2017 01,104
5,2017 02,113
6,2017 03,121
7,2017 04,136
8,2017 05,142
9,2017 06,143
57,2017 07,143
58,2017 08,143
10,2017 09,172
11,2017 10,181
12,2017 11,207
13,2017 12,219
14,2018 01,225
15,2018 02,232
16,2018 03,238
17,2018 04,244
18,2018 05,254
19,2018 06,256
59,2018 07,256
60,2018 08,256
20,2018 09,284
21,2018 10,289
22,2018 11,307
23,2018 12,310
61,2019 01,310
24,2019 02,315
25,2019 03,324
26,2019 04,331
27,2019 05,336
28,2019 06,338
62,2019 07,338
63,2019 08,338
29,2019 09,352
30,2019 10,370
31,2019 11,383
32,2019 12,424
33,2020 01,427
34,2020 02,447
35,2020 03,461
36,2020 04,470
37,2020 05,504
38,2020 06,520
64,2020 07,520
65,2020 08,520
39,2020 09,573
40,2020 10,596
41,2020 11,614
42,2020 12,618
43,2021 01,623
44,2021 02,632
45,2021 03,643
46,2021 04,651
47,2021 05,656
48,2021 06,661
66,2021 07,661
67,2021 08,661
49,2021 09,687
50,2021 10,710
51,2021 11,727
52,2021 12,736
53,2022 01,742
54,2022 02,751
55,2022 03,753
56,2022 04,756
